compassion,stress
5.125,5
4.75,5
4.125,5
4.75,4
3.625,4
4.375,4
4.625,4
4.875,4
3.5,4
3.75,2
4,5
3.875,5
3,4
5.125,4
3.625,1
3.125,5
3.125,4
3.5,4
3.125,4
2.75,5
4.625,4
3.375,4
2.75,3
4.5,5
4.875,5
3.75,6
3.375,4
4.125,5
4.5,1
3.875,4
5.75,5
3.625,3
4.125,3
3.25,5
4.125,3
4.25,4
2.875,3
3.5,5
4.875,4
3.625,5
3.375,4
3.375,4
4.25,4
4.75,5
3.75,4
3.375,2
6,6
1.5,2
5.375,6
3,5
4.625,4
1.5,2
5.125,5
1,1
2.125,2
3.75,4
6,6
5.375,5
4.875,5
1.875,2
5.125,5
5.625,4
4.375,4
5.375,5
5.375,5
1.875,2
5,4
2,2
2.25,1
6,6
3.875,5
1.375,4
5.5,5
5.75,6
5.75,6
2.5,3
5.25,6
1.625,1
6,6
1.25,2
3.375,3
5.375,5
6,6
5.5,6
1.25,1
3,2
5.5,5
5,5
2,3
2,3
