Japan,Romaji
の,no
に,ni
を,wo
は,ha
年,nen
が,ga
た,ta
で,de
て,te
と,to
し,shi
月,gatsu
日,nichi
れ,re
さ,sa
者,mono
する,suru
も,mo
ます,masu
利用,riyou
こと,koto
ある,aru
いる,iru
な,na
から,kara
い,i
ない,nai
ページ,peeji
第,dai
へ,he
や,ya
日本,nippon
として,toshite
です,desu
か,ka
会話,kaiwa
削除,sakujo
この,kono
市,shi
県,ken
れる,reru
あり,ari
ん,n
よう,you
ため,tame
的,teki
編集,henshuu
ください,kudasai
人,nin
という,toiu
など,nado
依頼,irai
なっ,natsu
名,mei
版,han
でき,deki
ませ,mase
リンク,rinku
駅,eki
記事,kiji
‐,‐
について,nitsuite
う,u
その,sono
もの,mono
投稿,toukou
ば,ba
町,machi
まし,mashi
なる,naru
場合,baai
あっ,atsu
ノート,nooto
号,gou
方針,houshin
回,kai
さん,san
まで,made
だ,da
中,naka
ので,node
一,ichi
放送,housou
後,nochi
おり,ori
人物,jinbutsu
署名,shomei
本,hon
において,nioite
家,ie
られ,rare
また,mata
選手,senshu
お,o
活動,katsudou
東京,toukyou
画像,gazou
会,kai
学校,gakkou
映画,eiga
時,toki
情報,jouhou
性,sei
部,bu
より,yori
案内,annai
質問,shitsumon
区,ku
ご,go
大,dai
上,ue
紹介,shoukai
作成,sakusei
日本語,nihongo
これ,kore
位,kurai
国,kuni
二,ni
一覧,ichiran
作品,sakuhin
ようこそ,youkoso
議論,giron
使用,shiyou
村,mura
出典,shutten
世界,sekai
テレビ,terebi
による,niyoru
州,shuu
なり,nari
三,san
問題,mondai
昭和,shouwa
線,sen
郡,gun
番組,bangumi
ファイル,fu
脚注,kyakuchuu
賞,shou
なく,naku
なら,nara
自己,jiko
話,hanashi
ず,zu
により,niyori
分,fun
前,mae
代表,daihyou
たら,tara
せ,se
化,ka
平成,heisei
に関する,ni
できる,dekiru
出身,shusshin
仮,kari
スタイル,sutairu
ガイドライン,gaidorain
思い,omoi
方,hou
外部,gaibu
数,kazu
五,go
内容,naiyou
児童,jidou
関連,kanren
ヘルプ,herupu
現在,genzai
時代,jidai
元,moto
それ,sore
研究,kenkyuu
